impressionTime,displayLocation,advertiserName,advertiserScreenName,osType,deviceId,deviceType,tweetId,tweetText,trendId,trendName,trendDescription
2019-08-15 17:17:54,TimelineHome,SmartAsset,@smartasset,Ios,33f6aeff65,iPhone,1160932053510164481,"With over 110 million Americans over age 50, it's no wonder this Princeton grad's startup just raised another $28 million in funding to help people conquer #retirement.",,,
2019-08-15 17:03:27,TimelineHome,HBO,@HBO,Ios,33f6aeff65,iPhone,1161276633245999104,Recommend a show in 3 words. #humanreco,,,
2019-08-15 17:03:27,TimelineHome,Kraft Macaroni & Cheese,@kraftmacncheese,Ios,33f6aeff65,iPhone,1161744525771059205,"Sorry utensils, you're cancelled. 

Well played Shannon. https://t.co/ni3OC9iTad",,,
2019-08-15 13:29:44,TimelineHome,Jim Beam,@JimBeam,Ios,33f6aeff65,iPhone,1161647418213117953,"Hey Chicago, days this hot call for the only drink with a certified refreshing taste - the #JimBeamHighball. Be the first to tell us how hot your day is and we might send you a Highball kit. Just use #JimBeamHighball + 🥃 + 🌡 + #Sweepstakes in your tweet. https://t.co/byI6L03DQp https://t.co/oX3wb6So8L",,,
2019-08-15 13:31:30,TimelineHome,Applebee's,@Applebees,Ios,33f6aeff65,iPhone,1128045280287502338,"We do the cooking. You do the relaaaaaaxing. That’s the
#ApplebeesToGo philosophy.",,,
2019-08-15 13:32:09,TimelineHome,English Grammar,@GrammarUpdates,Ios,33f6aeff65,iPhone,1161281462047576064,"New Infographic: ""17 Pretentious Words &amp; What to Use Instead"" https://t.co/XM3ToHhTlE",,,
2019-08-15 13:32:24,TimelineHome,Lettuce Jobs,@LettuceJobs,Ios,33f6aeff65,iPhone,1161730696957833216,We are growing and we would like you to be a part of it! Come join our team!,,,
2019-08-15 16:51:23,TimelineHome,Vaseline,@VaselineBrand,Ios,33f6aeff65,iPhone,1158397518780293126,"If you could only live with one size of Vaseline forever, which do you choose?",,,
2019-08-15 16:51:23,TimelineHome,John Legere,@JohnLegere,Ios,33f6aeff65,iPhone,1145766494564786176,"Follow me, T-Mobile CEO, because how many other telecom CEOs actually talk to their customers on social?",,,
2019-08-15 16:51:23,TimelineHome,Apple News,@AppleNews,Ios,33f6aeff65,iPhone,1160998560810315778,"Read more. Learn more. Experience more.

Access your favorite magazines on News+. Try free for 1 month.",,,
2019-08-15 16:51:23,TimelineHome,Pete Buttigieg,@PeteButtigieg,Ios,33f6aeff65,iPhone,1159214116009140225,"We're flying a group of supporters (and their guests) to South Bend for a night of pizza and conversation with me! 

Please chip in whatever you can—even one dollar—to be automatically entered to win.",,,
2019-08-15 16:51:17,TimelineHome,Voices of the Civil Rights Movement,@CivRightsVoices,Ios,33f6aeff65,iPhone,816363430961508352,Follow us for incredible stories from the men and women who led the historic fight for equal rights.,,,
